id,username,discrim,bestrank
130270718842634240,OptPrick,4727,24091
130340321572683776,Foegol,0939,11397
130346148144742400,Zee,9693,35682
130396826103840768,dragonBEL,8700,9140
130427569291001856,kreesperez,0974,17738
130436162643820544,Blob28895,8847,4545
130444848519053312,Ruggsy,7042,27356
130478979038576640,Josten,3566,16056
130526193417060352,Oraces,5988,24094
130771737615925249,Davidenzo,7465,8044
130793012832763904,MattSciar,8890,20601
130822581455421441,T3Si,1548,31056
130832637127294976,Drew,3811,9205
131005761458405376,sinzu,4048,29025
131011709786652672,Green,0101,12762
131047962880114688,bUm,8128,5366
131164307915407360,Syko,0001,30903
131176318011179008,Strider,1502,30547
131208884927987715,Muzik_Monkey,7805,22259
131231177682976768,Dagurr,0044,7638
131314562648637440,Syldarion,0001,30906
131360328708521984,midboss,2682,21169
131468210531860480,"Enjoyer of homo sex",5364,10175
131483826261196800,Stefurak,9420,30383
131578317961822209,Sartorius723,2160,27926
131630036242530304,FaustenFang,1415,10824
131805576710717440,MagnificentPez,5379,19911
131828769378795520,zakryn,1913,35569
131908556034146304,UnderGround,9218,33148
131953208280088577,CryoComet,7497,7282
132017259802525696,klob,4507,17474
132098630818463744,$ync,8602,596
132132841025699840,-Makos-,9881,697
132138040771477504,Makru,4913,19986
132157285991579648,Guiu,2673,12939
132189715616104450,Arckese,3786,2775
132265368302387200,Daelach,7762,7626
132283303276445696,jimmyy,9548,15588
132358816061849600,Greg,0040,12777
132368986175176704,"Old Man Psyche",8369,23902
132374613865791488,ShadowBAM,1641,28499
132523301246468096,"Coffee Cat.",2590,6749
132611641232588800,Bug,4765,5323
132620781791346688,nolan,1111,23316
132622670511472640,Cotton,1396,7022
132697829989679104,7thChaos,7777,1088
132803629705986048,"Non-European Norwegian",6860,23337
132821853906534400,Rhys,2338,26810
132929833674997762,Keto,4796,17106
132931030477701120,Ste,8225,30331
132942080660996096,BearsMWx10,1019,3855
132963530033856512,"Moon Lord",2818,21740
132985074592251904,kaywayz,9025,16906
133159358493097984,Dafy,6404,7631
133192384325484544,Cook,5766,6897
133280816724705281,Kat,8870,16848
133327171321200641,Rundxwn,0952,27381
133336278966992896,Dopery,6327,8993
133394621106618368,4Tune,9778,1040
133488426677698560,henmay,6012,13459
133634500864376832,TiceDice,6015,31968
133706761491316736,OGParker,9453,23838
133754932837744640,Reterxis,8004,26718
133765272413667328,dnLL,1474,8816
133851379801260032,Alta,2112,2290
133957466097582080,RandomCitizen,3087,26286
134093291724603392,Despair(cobra22881),5855,8409
134184144325443585,Berserk,8499,4106
134245036240928768,OakieZ,6755,23727
134340377288114176,Bearsome,0001,3856
134476945076256768,Loxk,0175,19250
134502577554456577,TickDickler,5890,31969
134574441484124160,Windynik,1470,34433
134669429572108288,Sem,5485,198
134690639014133760,turboxide_,0637,32817
134714917621071872,SkaryBoi,3762,29120
134775234778759168,Vibromaster,1737,33579
134809164672139265,Poopgrr,7470,25483
134845802358112257,Godslayer,5696,12561
134928900374396928,Buddytohelpu,5354,5309
134979473769627649,Dental,0579,8341
134981012407975937,"Em0361 I Emir",1675,10038
134982177225048064,Poro,5674,25518
135083556908171265,Taseel,5707,31225
135097703263633408,Naw,2917,22663
135119033329647616,{M},4107,36135
135125942673604619,Gamerman191,4079,12058
135136698144129025,Radioaz,0488,26171
135142623223480321,S14lover,6926,27570
135204900219912193,BUKAS,0824,5344
135436361367945216,Zebra,2387,35671
135471768109449227,Gandalf,9927,12082
135528880655040512,PumpkinHead,0001,25817
135549134718369792,Godfreak,0001,12555
135554593995096065,Austiclees,6583,3185
135575275722375169,"Sad Tom",5718,27626
135640935349354497,Giova,6256,12424
135811049956966400,NcK,9753,22678
135884030020157440,Chaiti,2277,6033
135908283251687424,Hapster,5179,13233
136090255794241536,"Dream Fiend",1947,9188
136121982033985536,Sotumney,4426,29807
136144900650565633,Dylan,4049,9497
136174013989912576,Linus,0962,18868
136232540913532928,thor,4757,31886
136270180660543488,PAQET,0001,24547
136275476430716928,FBomb,4912,10852
136370697709551616,Levl,9624,18638
136416760592072704,Dyzl,7242,9532
136505205771599872,bruno,5644,5213
136558475009327104,Cex,5233,5995
136662112444481537,Coca,2947,6712
136698777800146945,NeonToxic,1998,22792
136869164907233280,"Age of Em",2655,1746
136991790774353920,Arthess,7083,2897
137232527650717699,Jan,0438,15134
137247653338546176,Ebast,6931,9613
137261089233567744,Ferra,4837,10968
137306923472125954,AERO,9448,1715
137320208598695937,Mynus,5823,22325
137351098255015937,Tempest,1611,31373
137357804821413888,matt,6605,20545
137364103101415424,mase,9426,20368
137370634358489088,lz,1427,19677
